"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","% Rostered","+/-","MIN","FG-","3PTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","EJ","2DO","3D","+-"
"*03kt8*","Deonte Burton","(N/A)","PG,G,Flx","634","FA","30","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rvx*","Deonte Burton","(N/A)","SF,F,Flx","635","FA","27","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02h01*","Dwight Buycks","(N/A)","PG,G,Flx","636","FA","32","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*001b9*","Jose Calderon","(N/A)","PG,G,Flx","639","FA","40","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*059q9*","Perrion Callandret","(N/A)","PG,G,Flx","640","FA","26","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04xl5*","Phillip Carr","NY","PF,F,Flx","647","FA","26","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04qsr*","Tony Carr","(N/A)","PG,G,Flx","648","FA","24","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04vu1*","Jeffrey Carroll","LAL","SG,G,Flx","650","FA","27","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0010i*","Matt Carroll","NO","SG,G,SF,F,Flx","651","FA","41","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03x59*","Sampson Carter","(N/A)","PF,F,Flx","653","FA","31","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*023z7*","Tweety Carter","(N/A)","PG,G,Flx","654","FA","35","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
